Word,Frequency
the,7273
and,5655
I,4709
to,4414
of,3592
a,2847
in,2400
that,2383
he,1959
was,1862
it,1767
is,1474
as,1449
me,1443
for,1432
his,1381
not,1353
we,1229
with,1226
you,1187
